name,address,type,no_bedrooms,no_bathrooms,area,latitude,longitude,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
"The Villa Project 1","The Villa, Dubai","Villa",4,5,5000,25.1136,55.4137,7500000,7300000,7100000,6900000,6700000,6500000,6300000,6100000,5900000,5700000,5500000
"The Villa Project 2","The Villa, Dubai","Villa",5,6,6000,25.1136,55.4137,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"The Villa Project 3","The Villa, Dubai","Villa",6,7,7000,25.1136,55.4137,10500000,10300000,10100000,9900000,9700000,9500000,9300000,9100000,8900000,8700000,8500000
"Al Furjan Villa 1","Al Furjan, Dubai","Villa",3,4,3500,25.0244,55.1372,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"Al Furjan Villa 2","Al Furjan, Dubai","Villa",4,5,4500,25.0244,55.1372,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000
"Al Furjan Villa 3","Al Furjan, Dubai","Villa",5,6,5500,25.0244,55.1372,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"The Springs Villa 1","The Springs, Dubai","Villa",2,3,2500,25.0700,55.1900,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"The Springs Villa 2","The Springs, Dubai","Villa",3,4,3000,25.0700,55.1900,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"The Springs Villa 3","The Springs, Dubai","Villa",4,5,3500,25.0700,55.1900,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000
"The Meadows Villa 1","The Meadows, Dubai","Villa",4,5,5000,25.0725,55.1775,7000000,6900000,6800000,6700000,6600000,6500000,6400000,6300000,6200000,6100000,6000000
"The Meadows Villa 2","The Meadows, Dubai","Villa",5,6,6000,25.0725,55.1775,8500000,8400000,8300000,8200000,8100000,8000000,7900000,7800000,7700000,7600000,7500000
"The Meadows Villa 3","The Meadows, Dubai","Villa",6,7,7000,25.0725,55.1775,10000000,9900000,9800000,9700000,9600000,9500000,9400000,9300000,9200000,9100000,9000000
"The Lakes Villa 1","The Lakes, Dubai","Villa",4,5,5000,25.0755,55.1675,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"The Lakes Villa 2","The Lakes, Dubai","Villa",5,6,6000,25.0755,55.1675,8800000,8700000,8600000,8500000,8400000,8300000,8200000,8100000,8000000,7900000,7800000
"The Lakes Villa 3","The Lakes, Dubai","Villa",6,7,7000,25.0755,55.1675,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000,9400000,9300000,9200000
"Jumeirah Park Villa 1","Jumeirah Park, Dubai","Villa",3,4,3200,25.0650,55.1775,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"Jumeirah Park Villa 2","Jumeirah Park, Dubai","Villa",4,5,4200,25.0650,55.1775,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"Jumeirah Park Villa 3","Jumeirah Park, Dubai","Villa",5,6,5200,25.0650,55.1775,8000000,7900000,7800000,7700000,7600000,7500000,7400000,7300000,7200000,7100000,7000000
"DIFC Apartment 1","DIFC, Dubai","Apartment",1,2,1000,25.2108,55.2758,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"DIFC Apartment 2","DIFC, Dubai","Apartment",2,3,1800,25.2108,55.2758,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"DIFC Apartment 3","DIFC, Dubai","Apartment",3,4,2500,25.2108,55.2758,7500000,7300000,7100000,6900000,6700000,6500000,6300000,6100000,5900000,5700000,5500000
"Sheikh Zayed Road Apartment 1","Sheikh Zayed Road, Dubai","Apartment",1,2,900,25.2101,55.2722,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000,2100000,2000000
"Sheikh Zayed Road Apartment 2","Sheikh Zayed Road, Dubai","Apartment",2,3,1600,25.2101,55.2722,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"Sheikh Zayed Road Apartment 3","Sheikh Zayed Road, Dubai","Apartment",3,4,2300,25.2101,55.2722,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"Dubai Creek Harbour Apartment 1","Dubai Creek Harbour, Dubai","Apartment",1,2,1000,25.1950,55.3400,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000
"Dubai Creek Harbour Apartment 2","Dubai Creek Harbour, Dubai","Apartment",2,3,1700,25.1950,55.3400,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000
"Dubai Creek Harbour Apartment 3","Dubai Creek Harbour, Dubai","Apartment",3,4,2400,25.1950,55.3400,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000,6400000,6300000,6200000
"Bluewaters Island Apartment 1","Bluewaters Island, Dubai","Apartment",1,2,1100,25.0768,55.1214,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"Bluewaters Island Apartment 2","Bluewaters Island, Dubai","Apartment",2,3,1800,25.0768,55.1214,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"Bluewaters Island Apartment 3","Bluewaters Island, Dubai","Apartment",3,4,2500,25.0768,55.1214,8500000,8400000,8300000,8200000,8100000,8000000,7900000,7800000,7700000,7600000,7500000
"City Walk Apartment 1","City Walk, Dubai","Apartment",1,2,1000,25.2035,55.2643,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000
"City Walk Apartment 2","City Walk, Dubai","Apartment",2,3,1700,25.2035,55.2643,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000
"City Walk Apartment 3","City Walk, Dubai","Apartment",3,4,2400,25.2035,55.2643,7600000,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000
"Jumeirah Village Circle Villa 1","JVC, Dubai","Villa",3,4,3000,25.0531,55.2223,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Jumeirah Village Circle Villa 2","JVC, Dubai","Villa",4,5,4000,25.0531,55.2223,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"Jumeirah Village Circle Villa 3","JVC, Dubai","Villa",5,6,5000,25.0531,55.2223,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000
"Jumeirah Village Triangle Villa 1","JVT, Dubai","Villa",3,4,3200,25.0609,55.2126,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000
"Jumeirah Village Triangle Villa 2","JVT, Dubai","Villa",4,5,4200,25.0609,55.2126,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000
"Jumeirah Village Triangle Villa 3","JVT, Dubai","Villa",5,6,5200,25.0609,55.2126,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000
"Motor City Villa 1","Motor City, Dubai","Villa",3,4,3000,25.0501,55.2396,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000
"Motor City Villa 2","Motor City, Dubai","Villa",4,5,4000,25.0501,55.2396,4600000,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000
"Motor City Villa 3","Motor City, Dubai","Villa",5,6,5000,25.0501,55.2396,5600000,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000
"Dubai Sports City Villa 1","Dubai Sports City, Dubai","Villa",3,4,3200,25.0477,55.2230,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Dubai Sports City Villa 2","Dubai Sports City, Dubai","Villa",4,5,4200,25.0477,55.2230,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"Dubai Sports City Villa 3","Dubai Sports City, Dubai","Villa",5,6,5200,25.0477,55.2230,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000
"MBR City Villa 1","Mohammed Bin Rashid City, Dubai","Villa",5,6,6000,25.1740,55.2851,9800000,9600000,9400000,9200000,9000000,8800000,8600000,8400000,8200000,8000000,7800000
"MBR City Villa 2","Mohammed Bin Rashid City, Dubai","Villa",6,7,7000,25.1740,55.2851,11800000,11600000,11400000,11200000,11000000,10800000,10600000,10400000,10200000,10000000,9800000
"MBR City Villa 3","Mohammed Bin Rashid City, Dubai","Villa",7,8,8000,25.1740,55.2851,13800000,13600000,13400000,13200000,13000000,12800000,12600000,12400000,12200000,12000000,11800000
"Dubai Production City Apartment 1","Dubai Production City, Dubai","Apartment",1,2,800,25.0225,55.2389,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000,1350000,1300000
"Dubai Production City Apartment 2","Dubai Production City, Dubai","Apartment",2,3,1200,25.0225,55.2389,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000,1950000,1900000
"Dubai Production City Apartment 3","Dubai Production City, Dubai","Apartment",3,4,1800,25.0225,55.2389,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000
"International City Apartment 1","International City, Dubai","Apartment",1,2,750,25.1606,55.4072,900000,880000,860000,840000,820000,800000,780000,760000,740000,720000,700000
"International City Apartment 2","International City, Dubai","Apartment",2,3,1100,25.1606,55.4072,1300000,1280000,1260000,1240000,1220000,1200000,1180000,1160000,1140000,1120000,1100000
"International City Apartment 3","International City, Dubai","Apartment",3,4,1500,25.1606,55.4072,1800000,1780000,1760000,1740000,1720000,1700000,1680000,1660000,1640000,1620000,1600000
"Dubai Investment Park Villa 1","Dubai Investment Park, Dubai","Villa",3,4,2800,25.0252,55.1530,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000
"Dubai Investment Park Villa 2","Dubai Investment Park, Dubai","Villa",4,5,3800,25.0252,55.1530,4200000,4150000,4100000,4050000,4000000,3950000,3900000,3850000,3800000,3750000,3700000
"Dubai Investment Park Villa 3","Dubai Investment Park, Dubai","Villa",5,6,4800,25.0252,55.1530,5200000,5150000,5100000,5050000,5000000,4950000,4900000,4850000,4800000,4750000,4700000
"Jumeirah Heights Villa 1","Jumeirah Heights, Dubai","Villa",3,4,3200,25.0753,55.1554,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000
"Jumeirah Heights Villa 2","Jumeirah Heights, Dubai","Villa",4,5,4200,25.0753,55.1554,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"Jumeirah Heights Villa 3","Jumeirah Heights, Dubai","Villa",5,6,5200,25.0753,55.1554,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"Discovery Gardens Apartment 1","Discovery Gardens, Dubai","Apartment",1,1,700,25.0462,55.1372,850000,840000,830000,820000,810000,800000,790000,780000,770000,760000,750000
"Discovery Gardens Apartment 2","Discovery Gardens, Dubai","Apartment",2,2,1200,25.0462,55.1372,1350000,1340000,1330000,1320000,1310000,1300000,1290000,1280000,1270000,1260000,1250000
"Discovery Gardens Apartment 3","Discovery Gardens, Dubai","Apartment",3,3,1800,25.0462,55.1372,1850000,1840000,1830000,1820000,1810000,1800000,1790000,1780000,1770000,1760000,1750000
"Dubai Science Park Apartment 1","Dubai Science Park, Dubai","Apartment",1,1,800,25.0991,55.2113,1500000,1480000,1460000,1440000,1420000,1400000,1380000,1360000,1340000,1320000,1300000
"Dubai Science Park Apartment 2","Dubai Science Park, Dubai","Apartment",2,2,1300,25.0991,55.2113,2200000,2180000,2160000,2140000,2120000,2100000,2080000,2060000,2040000,2020000,2000000
"Dubai Science Park Apartment 3","Dubai Science Park, Dubai","Apartment",3,3,1800,25.0991,55.2113,2800000,2780000,2760000,2740000,2720000,2700000,2680000,2660000,2640000,2620000,2600000
"Dubai Studio City Villa 1","Dubai Studio City, Dubai","Villa",3,4,3000,25.0394,55.2497,4000000,3950000,3900000,3850000,3800000,3750000,3700000,3650000,3600000,3550000,3500000
"Dubai Studio City Villa 2","Dubai Studio City, Dubai","Villa",4,5,4000,25.0394,55.2497,5000000,4950000,4900000,4850000,4800000,4750000,4700000,4650000,4600000,4550000,4500000
"Dubai Studio City Villa 3","Dubai Studio City, Dubai","Villa",5,6,5000,25.0394,55.2497,6000000,5950000,5900000,5850000,5800000,5750000,5700000,5650000,5600000,5550000,5500000
"Mudon Villa 1","Mudon, Dubai","Villa",3,4,2800,25.0220,55.2485,3500000,3450000,3400000,3350000,3300000,3250000,3200000,3150000,3100000,3050000,3000000
"Mudon Villa 2","Mudon, Dubai","Villa",4,5,3800,25.0220,55.2485,4500000,4450000,4400000,4350000,4300000,4250000,4200000,4150000,4100000,4050000,4000000
"Mudon Villa 3","Mudon, Dubai","Villa",5,6,4800,25.0220,55.2485,5500000,5450000,5400000,5350000,5300000,5250000,5200000,5150000,5100000,5050000,5000000
"Culture Village Apartment 1","Culture Village, Dubai","Apartment",1,2,900,25.2334,55.3250,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000
"Culture Village Apartment 2","Culture Village, Dubai","Apartment",2,3,1500,25.2334,55.3250,3500000,3450000,3400000,3350000,3300000,3250000,3200000,3150000,3100000,3050000,3000000
"Culture Village Apartment 3","Culture Village, Dubai","Apartment",3,4,2100,25.2334,55.3250,4500000,4450000,4400000,4350000,4300000,4250000,4200000,4150000,4100000,4050000,4000000
"Jumeirah Village Triangle Townhouse 1","JVT, Dubai","Townhouse",3,4,2500,25.0609,55.2126,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000
"Jumeirah Village Triangle Townhouse 2","JVT, Dubai","Townhouse",4,5,3000,25.0609,55.2126,3800000,3750000,3700000,3650000,3600000,3550000,3500000,3450000,3400000,3350000,3300000
"Jumeirah Village Triangle Townhouse 3","JVT, Dubai","Townhouse",5,6,3500,25.0609,55.2126,4400000,4350000,4300000,4250000,4200000,4150000,4100000,4050000,4000000,3950000,3900000
"Jumeirah Village Circle Townhouse 1","JVC, Dubai","Townhouse",3,4,2400,25.0531,55.2223,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000,2650000,2600000
"Jumeirah Village Circle Townhouse 2","JVC, Dubai","Townhouse",4,5,2900,25.0531,55.2223,3700000,3650000,3600000,3550000,3500000,3450000,3400000,3350000,3300000,3250000,3200000
"Jumeirah Village Circle Townhouse 3","JVC, Dubai","Townhouse",5,6,3400,25.0531,55.2223,4300000,4250000,4200000,4150000,4100000,4050000,4000000,3950000,3900000,3850000,3800000
"Al Badia Residence 1","Al Badia, Festival City, Dubai","Apartment",2,3,1500,25.2260,55.3513,3000000,2950000,2900000,2850000,2800000,2750000,2700000,2650000,2600000,2550000,2500000
"Al Badia Residence 2","Al Badia, Festival City, Dubai","Apartment",3,4,2100,25.2260,55.3513,4000000,3950000,3900000,3850000,3800000,3750000,3700000,3650000,3600000,3550000,3500000
"Al Badia Residence 3","Al Badia, Festival City, Dubai","Apartment",4,5,2800,25.2260,55.3513,5000000,4950000,4900000,4850000,4800000,4750000,4700000,4650000,4600000,4550000,4500000
"Dubai Silicon Oasis Apartment 1","Dubai Silicon Oasis, Dubai","Apartment",1,2,800,25.1212,55.3773,1200000,1180000,1160000,1140000,1120000,1100000,1080000,1060000,1040000,1020000,1000000
"Dubai Silicon Oasis Apartment 2","Dubai Silicon Oasis, Dubai","Apartment",2,3,1300,25.1212,55.3773,1800000,1780000,1760000,1740000,1720000,1700000,1680000,1660000,1640000,1620000,1600000
"Dubai Silicon Oasis Apartment 3","Dubai Silicon Oasis, Dubai","Apartment",3,4,1800,25.1212,55.3773,2400000,2380000,2360000,2340000,2320000,2300000,2280000,2260000,2240000,2220000,2200000
"Town Square Villa 1","Town Square, Dubai","Villa",3,4,2800,25.0127,55.2920,3300000,3250000,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000
"Town Square Villa 2","Town Square, Dubai","Villa",4,5,3500,25.0127,55.2920,4100000,4050000,4000000,3950000,3900000,3850000,3800000,3750000,3700000,3650000,3600000
"Town Square Villa 3","Town Square, Dubai","Villa",5,6,4200,25.0127,55.2920,4900000,4850000,4800000,4750000,4700000,4650000,4600000,4550000,4500000,4450000,4400000
"Town Square Townhouse 1","Town Square, Dubai","Townhouse",3,4,2200,25.0127,55.2920,2800000,2750000,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000
"Town Square Townhouse 2","Town Square, Dubai","Townhouse",4,5,2800,25.0127,55.2920,3500000,3450000,3400000,3350000,3300000,3250000,3200000,3150000,3100000,3050000,3000000
"Town Square Townhouse 3","Town Square, Dubai","Townhouse",5,6,3400,25.0127,55.2920,4200000,4150000,4100000,4050000,4000000,3950000,3900000,3850000,3800000,3750000,3700000
"Serena Townhouse 1","Serena, Dubai","Townhouse",2,3,1800,25.0234,55.2816,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000
"Serena Townhouse 2","Serena, Dubai","Townhouse",3,4,2300,25.0234,55.2816,2800000,2750000,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000
"Serena Townhouse 3","Serena, Dubai","Townhouse",4,5,2800,25.0234,55.2816,3400000,3350000,3300000,3250000,3200000,3150000,3100000,3050000,3000000,2950000,2900000
"Mira Villa 1","Mira, Reem, Dubai","Villa",3,4,2800,25.0094,55.3029,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000
"Mira Villa 2","Mira, Reem, Dubai","Villa",4,5,3300,25.0094,55.3029,3800000,3750000,3700000,3650000,3600000,3550000,3500000,3450000,3400000,3350000,3300000
"Mira Villa 3","Mira, Reem, Dubai","Villa",5,6,3800,25.0094,55.3029,4400000,4350000,4300000,4250000,4200000,4150000,4100000,4050000,4000000,3950000,3900000
"Dubai Healthcare City Apartment 1","Dubai Healthcare City, Dubai","Apartment",1,2,900,25.2320,55.3270,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000
"Dubai Healthcare City Apartment 2","Dubai Healthcare City, Dubai","Apartment",2,3,1500,25.2320,55.3270,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000
"Dubai Healthcare City Apartment 3","Dubai Healthcare City, Dubai","Apartment",3,4,2100,25.2320,55.3270,4200000,4150000,4100000,4050000,4000000,3950000,3900000,3850000,3800000,3750000,3700000
"Al Ghadeer Villa 1","Al Ghadeer, Dubai","Villa",2,3,2000,24.7880,55.0300,1800000,1780000,1760000,1740000,1720000,1700000,1680000,1660000,1640000,1620000,1600000
"Al Ghadeer Villa 2","Al Ghadeer, Dubai","Villa",3,4,2500,24.7880,55.0300,2300000,2280000,2260000,2240000,2220000,2200000,2180000,2160000,2140000,2120000,2100000
"Al Ghadeer Villa 3","Al Ghadeer, Dubai","Villa",4,5,3000,24.7880,55.0300,2800000,2780000,2760000,2740000,2720000,2700000,2680000,2660000,2640000,2620000,2600000
"Dubai Creek Residences 1","Dubai Creek Residences, Dubai","Apartment",2,3,1500,25.2210,55.3490,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"Dubai Creek Residences 2","Dubai Creek Residences, Dubai","Apartment",3,4,2100,25.2210,55.3490,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"Dubai Creek Residences 3","Dubai Creek Residences, Dubai","Apartment",4,5,2700,25.2210,55.3490,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"Jumeirah Bay Island Villa 1","Jumeirah Bay Island, Dubai","Villa",4,5,6000,25.2016,55.2434,25000000,24500000,24000000,23500000,23000000,22500000,22000000,21500000,21000000,20500000,20000000
"Jumeirah Bay Island Villa 2","Jumeirah Bay Island, Dubai","Villa",5,6,8000,25.2016,55.2434,32000000,31500000,31000000,30500000,30000000,29500000,29000000,28500000,28000000,27500000,27000000
"Jumeirah Bay Island Villa 3","Jumeirah Bay Island, Dubai","Villa",6,7,10000,25.2016,55.2434,40000000,39500000,39000000,38500000,38000000,37500000,37000000,36500000,36000000,35500000,35000000
"The Meadows Villa 1","Meadows, Dubai","Villa",5,6,3970,25.0650,55.1700,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"The Meadows Villa 2","Meadows, Dubai","Villa",4,5,3500,25.0650,55.1700,7500000,7300000,7100000,6900000,6700000,6500000,6300000,6100000,5900000,5700000,5500000
"The Springs Villa 1","The Springs, Dubai","Villa",3,4,1690,25.0520,55.1810,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"The Springs Villa 2","The Springs, Dubai","Villa",4,5,2456,25.0520,55.1810,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"The Lakes Villa 1","The Lakes, Dubai","Villa",4,5,4019,25.0812,55.1632,10750000,10400000,10050000,9700000,9350000,9000000,8650000,8300000,7950000,7600000,7250000
"The Lakes Villa 2","The Lakes, Dubai","Villa",3,4,3200,25.0812,55.1632,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Arabian Ranches Villa 1","Arabian Ranches, Dubai","Villa",5,6,5127,25.0456,55.2708,13950000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000
"Arabian Ranches Villa 2","Arabian Ranches, Dubai","Villa",4,5,4000,25.0456,55.2708,11000000,10700000,10400000,10100000,9800000,9500000,9200000,8900000,8600000,8300000,8000000
"Arabian Ranches 2 Villa 1","Arabian Ranches 2, Dubai","Villa",4,5,3076,25.0456,55.2708,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"Arabian Ranches 2 Villa 2","Arabian Ranches 2, Dubai","Villa",4,5,3839,25.0456,55.2708,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Arabian Ranches 3 Villa 1","Arabian Ranches 3, Dubai","Villa",4,5,3000,25.0456,55.2708,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000,3000000
"Arabian Ranches 3 Villa 2","Arabian Ranches 3, Dubai","Villa",3,4,2500,25.0456,55.2708,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000
"Jumeirah Park Villa 1","Jumeirah Park, Dubai","Villa",4,5,4689,25.0492,55.1801,11725000,11300000,10900000,10500000,10100000,9700000,9300000,8900000,8500000,8100000,7700000
"Jumeirah Park Villa 2","Jumeirah Park, Dubai","Villa",3,4,3500,25.0492,55.1801,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Victory Heights Villa 1","Victory Heights, Dubai Sports City, Dubai","Villa",5,6,6744,25.0478,55.2211,9500000,9200000,8900000,8600000,8300000,8000000,7700000,7400000,7100000,6800000,6500000
"Victory Heights Villa 2","Victory Heights, Dubai Sports City, Dubai","Villa",4,5,5000,25.0478,55.2211,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"The Villa Ponderosa","The Villa, Dubai","Villa",6,7,5700,25.0730,55.3830,12000000,11600000,11200000,10800000,10400000,10000000,9600000,9200000,8800000,8400000,8000000
"The Villa Hacienda","The Villa, Dubai","Villa",5,6,5000,25.0730,55.3830,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Green Community Villa 1","Green Community, Dubai","Villa",5,6,6000,25.0160,55.2210,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Green Community Villa 2","Green Community, Dubai","Villa",4,5,4500,25.0160,55.2210,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"Mudon Villa 1","Mudon, Dubai","Villa",4,5,3800,25.0165,55.2770,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"Mudon Villa 2","Mudon, Dubai","Villa",3,4,3200,25.0165,55.2770,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000
"Mira Villa 1","Mira (Reem), Dubai","Townhouse",3,4,2500,25.0450,55.2700,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"Mira Villa 2","Mira (Reem), Dubai","Townhouse",4,5,2800,25.0450,55.2700,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000
"Mira Oasis Villa 1","Mira Oasis, Reem, Dubai","Townhouse",3,4,2300,25.0455,55.2705,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000,2100000,2000000
"Mira Oasis Villa 2","Mira Oasis, Reem, Dubai","Townhouse",4,5,2600,25.0455,55.2705,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Al Furjan Villa 1","Al Furjan, Dubai","Villa",5,6,6000,25.0470,55.1400,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Al Furjan Villa 2","Al Furjan, Dubai","Villa",4,5,4500,25.0470,55.1400,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"Cherrywoods Villa 1","Cherrywoods, Dubai","Townhouse",4,5,2800,25.0110,55.2200,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Cherrywoods Villa 2","Cherrywoods, Dubai","Townhouse",3,4,2400,25.0110,55.2200,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000,2100000,2000000
"La Rosa Townhouse 1","La Rosa, Villanova, Dubai","Townhouse",3,4,2200,25.0130,55.2700,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000
"La Rosa Townhouse 2","La Rosa, Villanova, Dubai","Townhouse",4,5,2600,25.0130,55.2700,3000000,2950000,2900000,2850000,2800000,2750000,2700000,2650000,2600000,2550000,2500000
"La Quinta Villa 1","La Quinta, Villanova, Dubai","Villa",5,6,5000,25.0135,55.2705,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"La Quinta Villa 2","La Quinta, Villanova, Dubai","Villa",4,5,4000,25.0135,55.2705,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"Amaranta Townhouse 1","Amaranta, Villanova, Dubai","Townhouse",3,4,2100,25.0140,55.2710,2300000,2250000,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000
"Amaranta Townhouse 2","Amaranta, Villanova, Dubai","Townhouse",4,5,2500,25.0140,55.2710,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000
"Town Square Noor Townhouse 1","Noor Townhouses, Town Square, Dubai","Townhouse",3,4,2026,24.8572,55.2708,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000
"Town Square Noor Townhouse 2","Noor Townhouses, Town Square, Dubai","Townhouse",4,5,2200,24.8572,55.2708,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000
"Serena Casa Dora Townhouse 1","Serena, Casa Dora, Dubai","Townhouse",3,4,1800,25.0115,55.2705,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000,1350000,1300000
